epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.956,1.98014,3.50626,1.74369,0,0,0,0,nan,nan,nan,0.0856,0.0016,0.0016
2,417.386,1.71251,1.61612,1.60659,0,0,0,0,nan,nan,nan,0.0702673,0.00326733,0.00326733
3,525.438,1.64784,1.2972,1.57159,0,0,0,0,nan,nan,nan,0.054901,0.004901,0.004901
4,655.999,1.59698,1.11006,1.53233,0,0,0,0,nan,nan,nan,0.039501,0.00650101,0.00650101
5,788.993,1.59666,1.06992,1.51476,0,0,0,0,nan,nan,nan,0.0240674,0.00806736,0.00806736
6,890.664,1.61302,1.10232,1.53258,0,0,0,0,nan,nan,nan,0.009505,0.009505,0.009505
7,978.88,1.50971,1.02708,1.4776,0.20319,0.24317,0.18192,0.09271,2.16982,3.59485,2.23965,0.009406,0.009406,0.009406
8,1129.42,1.52921,0.99208,1.47155,0.54109,0.36204,0.33881,0.1591,1.98072,2.02389,2.03497,0.009307,0.009307,0.009307
9,1296.41,1.47412,0.9694,1.44894,0.59505,0.38575,0.38746,0.21131,1.69517,1.9391,1.73617,0.009208,0.009208,0.009208
10,1420.84,1.45446,0.89751,1.42903,0.57948,0.48032,0.55476,0.29429,1.56609,1.43507,1.57738,0.009109,0.009109,0.009109
11,1559.49,1.43401,0.8697,1.41647,0.71387,0.56373,0.57595,0.32199,1.55814,1.20744,1.59633,0.00901,0.00901,0.00901
12,1701.07,1.42546,0.86608,1.41031,0.61483,0.56206,0.60169,0.33721,1.5555,1.3363,1.52407,0.008911,0.008911,0.008911
13,1857.65,1.403,0.85556,1.4019,0.72641,0.63675,0.65347,0.36259,1.55841,1.09468,1.54151,0.008812,0.008812,0.008812
14,1964.97,1.37616,0.82171,1.38175,0.73042,0.66701,0.72421,0.40761,1.50819,1.06378,1.4846,0.008713,0.008713,0.008713
15,2090.94,1.35544,0.79832,1.36105,0.81611,0.55313,0.69063,0.38555,1.47564,1.11509,1.4707,0.008614,0.008614,0.008614
16,2252.94,1.3418,0.78342,1.3576,0.73487,0.62475,0.68677,0.39544,1.47058,0.98419,1.46032,0.008515,0.008515,0.008515
17,2435.19,1.35716,0.79781,1.36951,0.7141,0.72655,0.75037,0.41293,1.44057,0.93565,1.43009,0.008416,0.008416,0.008416
18,2566.83,1.37059,0.79517,1.37062,0.68097,0.62573,0.70966,0.40845,1.46788,0.97039,1.4429,0.008317,0.008317,0.008317
19,2686.96,1.35129,0.77431,1.35681,0.71916,0.69927,0.77001,0.42497,1.47365,0.90732,1.45184,0.008218,0.008218,0.008218
20,2822.24,1.3482,0.75472,1.3594,0.74751,0.69862,0.70015,0.40782,1.49908,1.10815,1.48044,0.008119,0.008119,0.008119
21,2951.37,1.30568,0.73727,1.34495,0.66075,0.52409,0.55399,0.30762,1.66105,1.27085,1.58957,0.00802,0.00802,0.00802
22,3046.64,1.30133,0.73142,1.33425,0.63966,0.67185,0.70741,0.41707,1.44432,0.90921,1.4259,0.007921,0.007921,0.007921
23,3143.58,1.29693,0.72023,1.32578,0.59938,0.63578,0.61315,0.33196,1.60648,1.16765,1.57626,0.007822,0.007822,0.007822
24,3267.67,1.28261,0.71923,1.31535,0.69345,0.60039,0.63081,0.36584,1.53114,1.02521,1.51479,0.007723,0.007723,0.007723
25,3408.3,1.27411,0.71747,1.31313,0.69539,0.68493,0.75265,0.43895,1.41427,0.94034,1.40487,0.007624,0.007624,0.007624
26,3467.29,1.2625,0.69891,1.30368,0.75467,0.72697,0.80061,0.41354,1.62196,0.85839,1.51724,0.007525,0.007525,0.007525
27,3579.38,1.29217,0.72518,1.31546,0.73747,0.78199,0.80359,0.47338,1.3389,0.77849,1.36707,0.007426,0.007426,0.007426
28,3723.34,1.24606,0.71344,1.29962,0.7146,0.76313,0.83423,0.48389,1.32043,0.77386,1.35604,0.007327,0.007327,0.007327
29,3909.84,1.2224,0.68329,1.27861,0.74258,0.70426,0.77666,0.44946,1.43653,0.85944,1.435,0.007228,0.007228,0.007228
30,4112.71,1.22475,0.69541,1.27956,0.65873,0.81137,0.79042,0.45306,1.38557,0.81559,1.40305,0.007129,0.007129,0.007129
31,4288.2,1.21586,0.67155,1.28041,0.85837,0.74056,0.8553,0.51381,1.30548,0.75565,1.3499,0.00703,0.00703,0.00703
32,4420.49,1.19348,0.65476,1.26495,0.83697,0.75662,0.82892,0.48097,1.3513,0.73422,1.35539,0.006931,0.006931,0.006931
33,4602.86,1.20006,0.65827,1.26673,0.79854,0.79901,0.8278,0.49687,1.31829,0.74113,1.34261,0.006832,0.006832,0.006832
34,4781.11,1.20869,0.66383,1.27483,0.72904,0.82099,0.82791,0.51307,1.28047,0.72893,1.33165,0.006733,0.006733,0.006733
35,4929.68,1.16255,0.63595,1.24717,0.76997,0.82128,0.8723,0.55095,1.24931,0.68107,1.31281,0.006634,0.006634,0.006634
36,5049.79,1.14371,0.62801,1.23286,0.79459,0.80877,0.86916,0.53129,1.24865,0.66878,1.30047,0.006535,0.006535,0.006535
37,5186.87,1.12929,0.61872,1.22854,0.76226,0.80211,0.82639,0.51595,1.27853,0.68791,1.30498,0.006436,0.006436,0.006436
38,5329.09,1.10201,0.59797,1.20124,0.85585,0.82954,0.89,0.54375,1.23939,0.64995,1.29634,0.006337,0.006337,0.006337
39,5436.33,1.12847,0.6015,1.22368,0.82188,0.8364,0.85858,0.52949,1.24285,0.67484,1.28942,0.006238,0.006238,0.006238
40,5524,1.14396,0.62197,1.22959,0.87038,0.77311,0.86031,0.53882,1.23257,0.69472,1.28825,0.006139,0.006139,0.006139
41,5620.21,1.10518,0.60104,1.20441,0.83806,0.81566,0.8788,0.53373,1.27655,0.65988,1.33172,0.00604,0.00604,0.00604
42,5719.67,1.10082,0.58409,1.19435,0.8312,0.82103,0.89637,0.54566,1.23275,0.63724,1.31486,0.005941,0.005941,0.005941
43,5853.9,1.06129,0.57803,1.17906,0.82335,0.77423,0.85708,0.53571,1.235,0.64255,1.29483,0.005842,0.005842,0.005842
44,5998.5,1.08535,0.59229,1.19723,0.78949,0.81402,0.85568,0.54186,1.21913,0.64499,1.29345,0.005743,0.005743,0.005743
45,6130.16,1.05503,0.56605,1.17424,0.90291,0.73011,0.85219,0.53938,1.20712,0.66003,1.2864,0.005644,0.005644,0.005644
46,6234.12,1.05706,0.57465,1.17295,0.80191,0.8528,0.89297,0.57972,1.17365,0.62012,1.2629,0.005545,0.005545,0.005545
47,6333.79,1.05273,0.56659,1.17402,0.83044,0.84987,0.89511,0.55761,1.23965,0.64511,1.29131,0.005446,0.005446,0.005446
48,6495.12,1.01581,0.54593,1.15213,0.7674,0.29188,0.48218,0.3636,nan,nan,nan,0.005347,0.005347,0.005347
49,6574.03,1.0322,0.56434,1.16504,0.73102,0.82498,0.81946,0.52941,nan,nan,nan,0.005248,0.005248,0.005248
50,6716.15,1.01944,0.54893,1.15485,0.9069,0.7536,0.83867,0.53151,1.18505,0.64492,1.26866,0.005149,0.005149,0.005149
51,6806.35,1.02526,0.55011,1.15715,0.82749,0.80954,0.84669,0.53138,1.1313,0.59374,1.24888,0.00505,0.00505,0.00505
52,6949.75,0.98295,0.53171,1.13408,0.80645,0.84983,0.88357,0.57431,1.1036,0.60394,1.22141,0.004951,0.004951,0.004951
53,7080.45,0.98288,0.53413,1.12983,0.88282,0.81136,0.89627,0.59424,1.09523,0.58393,1.22089,0.004852,0.004852,0.004852
54,7224.73,0.93709,0.51109,1.10379,0.89398,0.82168,0.91047,0.59538,1.07373,0.56932,1.2089,0.004753,0.004753,0.004753
55,7331.1,0.94293,0.50669,1.10379,0.81711,0.87852,0.90602,0.59333,1.07101,0.56722,1.20336,0.004654,0.004654,0.004654
56,7406.76,0.9371,0.51332,1.10097,0.86469,0.84448,0.91557,0.58658,1.08932,0.5643,1.2218,0.004555,0.004555,0.004555
57,7521.13,0.94038,0.50126,1.10176,0.79235,0.82127,0.8819,0.58105,1.04835,0.57143,1.19426,0.004456,0.004456,0.004456
58,7630.33,0.91828,0.50161,1.09538,0.89085,0.82297,0.90361,0.60139,1.0873,0.56561,1.20451,0.004357,0.004357,0.004357
59,7728.22,0.8916,0.48181,1.08512,0.88581,0.79684,0.87778,0.58392,1.05252,0.5645,1.19976,0.004258,0.004258,0.004258
60,7837.76,0.86551,0.47682,1.06505,0.87376,0.87767,0.92215,0.59093,1.073,0.56232,1.20782,0.004159,0.004159,0.004159
61,7951.63,0.86435,0.46752,1.06533,0.90023,0.82597,0.93225,0.61797,1.07075,0.55457,1.19658,0.00406,0.00406,0.00406
62,8038.92,0.87454,0.47913,1.07153,0.86211,0.85018,0.92298,0.61043,1.03212,0.54804,1.18627,0.003961,0.003961,0.003961
63,8225.28,0.84881,0.47167,1.0606,0.82518,0.89769,0.91036,0.60919,1.00952,0.5242,1.16628,0.003862,0.003862,0.003862
64,8381.69,0.82822,0.45603,1.05068,0.80186,0.87579,0.91497,0.60548,1.03845,0.52467,1.18352,0.003763,0.003763,0.003763
65,8571.34,0.81842,0.44744,1.04627,0.84688,0.89269,0.92493,0.62346,0.95994,0.49973,1.14327,0.003664,0.003664,0.003664
66,8686.41,0.82666,0.45676,1.03879,0.92396,0.80259,0.9188,0.62975,1.00291,0.53113,1.16921,0.003565,0.003565,0.003565
67,8797.3,0.80903,0.44628,1.03131,0.80095,0.89861,0.92607,0.63271,0.96716,0.53138,1.14469,0.003466,0.003466,0.003466
68,8982.64,0.80388,0.45078,1.03213,0.89178,0.84449,0.92233,0.63809,0.92682,0.50682,1.13287,0.003367,0.003367,0.003367
69,9119.78,0.804,0.44317,1.03033,0.909,0.85157,0.92432,0.65137,0.93047,0.51098,1.13122,0.003268,0.003268,0.003268
70,9268.93,0.77753,0.43742,1.02033,0.90809,0.88137,0.94518,0.65874,0.94976,0.49371,1.13445,0.003169,0.003169,0.003169
71,9381.88,0.77929,0.43362,1.01717,0.88291,0.89878,0.93513,0.66317,0.98125,0.49595,1.13168,0.00307,0.00307,0.00307
72,9521.48,0.78272,0.43149,1.01598,0.8422,0.92009,0.9524,0.67403,0.92509,0.48088,1.12047,0.002971,0.002971,0.002971
73,9612.38,0.75026,0.41811,1.00481,0.88548,0.84054,0.92277,0.65913,0.90655,0.47552,1.11175,0.002872,0.002872,0.002872
74,9729.98,0.73798,0.41278,1.00163,0.87957,0.87695,0.91298,0.65019,0.94235,0.48167,1.1303,0.002773,0.002773,0.002773
75,9841.09,0.75651,0.41546,1.00237,0.91339,0.85329,0.94589,0.67426,0.8921,0.4617,1.10525,0.002674,0.002674,0.002674
76,9961.71,0.75169,0.40928,1.00736,0.88531,0.88355,0.93406,0.6837,0.88601,0.46058,1.09015,0.002575,0.002575,0.002575
77,10064.1,0.72567,0.39899,0.98858,0.91989,0.89458,0.94797,0.66654,0.91504,0.47163,1.10629,0.002476,0.002476,0.002476
78,10204.4,0.72051,0.39743,0.98715,0.88687,0.90089,0.94987,0.68517,0.82459,0.44433,1.0776,0.002377,0.002377,0.002377
79,10333.7,0.72807,0.40449,0.99315,0.89165,0.90136,0.94084,0.65413,0.89302,0.47375,1.0956,0.002278,0.002278,0.002278
80,10483.4,0.72196,0.40301,0.98446,0.82099,0.94613,0.9404,0.66573,0.84236,0.44693,1.07671,0.002179,0.002179,0.002179
81,10584.6,0.68584,0.39068,0.97288,0.87321,0.90324,0.94192,0.68422,0.80701,0.42011,1.06186,0.00208,0.00208,0.00208
82,10697.4,0.68981,0.38756,0.97065,0.87707,0.92381,0.94792,0.71572,0.79261,0.41264,1.05884,0.001981,0.001981,0.001981
83,10823,0.69284,0.38995,0.97669,0.88886,0.91332,0.94497,0.69328,0.92305,0.44729,1.09898,0.001882,0.001882,0.001882
84,11031.7,0.69207,0.39065,0.97182,0.89136,0.86272,0.9382,0.69113,0.81635,0.42854,1.07826,0.001783,0.001783,0.001783
85,11206,0.67836,0.38041,0.96634,0.94032,0.86859,0.95001,0.70823,0.80641,0.42604,1.06227,0.001684,0.001684,0.001684
86,11304.7,0.65141,0.36693,0.95713,0.89759,0.9367,0.96341,0.71794,0.78857,0.41813,1.05821,0.001585,0.001585,0.001585
87,11433.5,0.62965,0.35988,0.94783,0.91906,0.94884,0.96155,0.7242,0.80207,0.41317,1.06389,0.001486,0.001486,0.001486
88,11569.2,0.6574,0.36894,0.96086,0.8928,0.93704,0.95376,0.7086,0.798,0.40368,1.0556,0.001387,0.001387,0.001387
89,11694.3,0.63818,0.35825,0.95213,0.93376,0.88756,0.94717,0.72104,0.76648,0.40398,1.05036,0.001288,0.001288,0.001288
90,11814.3,0.65646,0.37141,0.95676,0.90613,0.89106,0.94197,0.71443,0.78936,0.40485,1.05248,0.001189,0.001189,0.001189
91,11983.2,0.89319,0.45918,1.09989,0.90421,0.90252,0.94866,0.71864,0.7819,0.41362,1.05079,0.00109,0.00109,0.00109
92,12099.8,0.88233,0.45417,1.07964,0.89252,0.90794,0.94555,0.71921,0.75558,0.41116,1.03496,0.000991,0.000991,0.000991
93,12264.9,0.86742,0.44151,1.06816,0.89148,0.93341,0.95105,0.73121,0.78798,0.41161,1.04278,0.000892,0.000892,0.000892
94,12403.9,0.85979,0.43217,1.06386,0.90438,0.92062,0.95542,0.74458,0.73254,0.39506,1.0214,0.000793,0.000793,0.000793
95,12499.6,0.86667,0.42711,1.06727,0.9191,0.91018,0.95581,0.7385,0.74939,0.39912,1.02097,0.000694,0.000694,0.000694
96,12583.6,0.85844,0.43097,1.06502,0.95053,0.88385,0.96211,0.75017,0.71851,0.38624,1.0055,0.000595,0.000595,0.000595
97,12702.2,0.84482,0.42143,1.04899,0.88054,0.95112,0.96177,0.75592,0.70548,0.38084,1.0008,0.000496,0.000496,0.000496
98,12786.1,0.82256,0.4097,1.03831,0.89677,0.94993,0.96585,0.75502,0.69834,0.37369,0.99831,0.000397,0.000397,0.000397
99,12884.4,0.80847,0.40655,1.03762,0.91654,0.94509,0.96584,0.76401,0.68782,0.37349,0.9931,0.000298,0.000298,0.000298
100,12988.1,0.79652,0.39838,1.03055,0.91622,0.94,0.96612,0.76537,0.68166,0.36569,0.99033,0.000199,0.000199,0.000199
